cliente_id,data_compra,Produto,Valor_Médio,prob_180d,comprou_180d,prob_360d,comprou_360d
978312,2023-03-01,244680158,14822.5155,0.866613734379124,1,0.8752729791659668,1
978312,2023-03-08,5771200670,38060.515999999996,0.9206198986350129,1,0.9193968278024641,1
978312,2023-03-10,5771200670,50868.986999999994,0.9338168179719931,1,0.9303182725631499,1
978312,2023-03-13,5771320354,41709.1818,0.9144984817905666,1,0.9115540119978786,1
978312,2023-03-15,405120354,41599.9285,0.9079244690629954,1,0.9024773473646431,1
978312,2023-04-05,5771541338,35811.40457142857,0.9424430409968857,1,0.9464640417212186,1
978312,2023-04-07,410001338,31709.764124999998,0.9414184073952602,1,0.9446196160486341,1
978312,2023-05-02,1626361022,28893.20633333333,0.931251018581792,1,0.9311875234610655,1
978312,2023-05-18,5771200670,35049.292199999996,0.9258307611507021,1,0.9221133039590294,1
978312,2023-05-19,244680158,37359.68127272727,0.9155732866469835,1,0.9100690436350206,1
978312,2023-06-20,405120354,35971.8905,0.9001504577627091,1,0.8868031462835178,1
978312,2023-06-26,5771200670,40162.827,0.9213121152752073,1,0.91099427281119,1
978312,2023-07-19,1626361022,37748.3925,0.9331235037946493,1,0.9283812804553052,1
978312,2023-08-14,1626361022,35655.8826,0.9228169130913303,1,0.9124372623135257,1
978312,2023-08-21,5771200670,39080.76899999999,0.9363297435749759,1,0.927539431631615,1
978312,2023-10-13,5771200670,42102.72758823529,0.8855500571333187,1,0.8509108921315374,1
978312,2023-10-24,405120354,40928.72766666666,0.8719862266912163,1,0.8322442483934412,1
978312,2023-10-30,"1626361022, 5771541338",39368.65878947368,0.8706059886699762,1,0.8275731973593512,1
978312,2023-12-04,5771320354,37671.47085,0.8437450449510377,1,0.7754962053412392,1
978312,2023-12-08,5771541338,36291.515,0.8299954766006261,1,0.7526818763036129,1
978312,2024-02-07,"5771200670, 5771541338",41671.84036363636,0.9254342650416143,1,0.9210230867532581,1
978312,2024-02-09,244680158,42578.40430434782,0.9335117850409806,1,0.9310215782351764,1
978312,2024-03-26,5771320354,41046.162625,0.9266481378469962,1,0.9185086386831981,1
978312,2024-04-30,5771320354,39868.68756,0.9424198680525451,0,0.9409739170055762,0
978903,2023-01-17,1920380074,4817.514,0.0626599899719835,1,0.09160745772630237,1
978903,2023-05-04,1920380074,5176.333500000001,0.2606151516603566,1,0.37601448412870603,1
978903,2023-08-03,1920380074,5829.863,0.2523565746826805,1,0.3457044277217007,1
978903,2023-11-23,1920380074,5747.0985,0.12893127607556484,1,0.1511183211777768,1
978903,2023-11-24,1920380074,5330.8476,0.12076025496418873,1,0.13960806799994332,1
978903,2024-04-17,1920380354,11785.384,0.20887514757052142,0,0.30838307806301735,0
979503,2024-01-16,403621338,5673.486,0.025598488715008895,0,0.03403276735531886,0
980103,2023-01-09,403900074,4104.632999999999,0.051695717858105956,1,0.06410435967367535,1
980103,2023-03-31,580781532,12455.975999999999,0.18317900166639134,1,0.2256126985138227,1
980103,2023-05-02,"403900074, 1920740074",11943.711000000001,0.19762503859626598,1,0.2545341150442127,1
980103,2023-05-30,580781532,13898.45925,0.196482309838779,1,0.24398175789358398,1
980103,2023-11-17,1920740074,11959.108199999999,0.09017075954047415,1,0.08767179448093805,1
980103,2024-01-18,403900074,10704.759,0.17353219178679619,1,0.23315015384823043,1
980103,2024-01-22,"403900074, 1920740074",11018.324571428571,0.23492405202668454,1,0.31682349601703463,1
980103,2024-06-10,1920740074,11425.288875,0.16152019181356345,0,0.19238428611346203,0
981003,2023-05-31,341040074,7535.930999999999,0.10541161909675836,1,0.1404559501174403,1
981003,2023-07-14,341040074,7535.9310000000005,0.4337099474202309,1,0.5648366052632238,1
981003,2023-10-25,341040074,7535.931,0.2672535934315924,1,0.32866838539313215,1
981003,2024-02-06,341040074,7535.931,0.35872161637305405,0,0.4981019945049754,0
981603,2023-06-15,243161532,32812.338,0.06706775978123054,0,0.0876911824001853,0
981906,2023-01-24,405700354,35599.863,0.2764723679542809,1,0.30462360542593625,1
981906,2023-04-20,405700354,35537.911499999995,0.646372756365403,1,0.7081542758437239,1
981906,2023-06-23,405700354,35153.325999999994,0.58181463785809,1,0.617576475130204,1
981906,2023-10-24,405700354,34745.275499999996,0.48897610790106455,0,0.4834276725507696,1
981906,2024-06-18,405700354,35334.5928,0.503140769604618,0,0.530364812017405,0
982803,2023-01-05,42680670,109541.133,0.262342377249752,1,0.39026707420749907,1
982803,2023-02-07,42680670,120495.2385,0.6525493279940019,1,0.79019897012354,1
982803,2023-03-07,42680670,189871.279,0.686116657800049,1,0.7998316546061749,1
982803,2023-05-05,42680670,191696.96324999997,0.6860472212581936,1,0.8079270789020602,1
982803,2023-06-05,42680670,197174.01599999997,0.643996726437256,1,0.7620686077476918,1
982803,2023-07-25,42680670,200820.79549999998,0.7164783643313821,1,0.8241931913068028,1
